variant,attribute,group,decline_rate,tpr_bad_caught,fpr_good_declined,actual_bad_rate,n,avg_cost
none,sex,female,0.6258064516129033,0.8165137614678899,0.5223880597014925,0.35161290322580646,310,0.6612903225806451
none,sex,male,0.6014492753623188,0.8638743455497382,0.501002004008016,0.2768115942028985,690,0.5507246376811594
none,age_group,26-35,0.5979899497487438,0.847457627118644,0.4928571428571429,0.2964824120603015,398,0.5728643216080402
none,age_group,36-50,0.5618729096989966,0.8309859154929577,0.4780701754385965,0.23745819397993312,299,0.5652173913043478
none,age_group,<=25,0.7368421052631579,0.8625,0.6454545454545455,0.42105263157894735,190,0.6631578947368421
none,age_group,>50,0.5575221238938053,0.8387096774193549,0.45121951219512196,0.2743362831858407,113,0.5486725663716814
"sex,age",sex,female,0.7258064516129032,0.8899082568807339,0.6368159203980099,0.35161290322580646,310,0.6064516129032258
"sex,age",sex,male,0.6057971014492753,0.8638743455497382,0.5070140280561122,0.2768115942028985,690,0.5550724637681159
"sex,age",age_group,26-35,0.6381909547738693,0.8728813559322034,0.5392857142857143,0.2964824120603015,398,0.5678391959798995
"sex,age",age_group,36-50,0.5451505016722408,0.8028169014084507,0.4649122807017544,0.23745819397993312,299,0.5886287625418061
"sex,age",age_group,<=25,0.8789473684210526,0.95,0.8272727272727273,0.42105263157894735,190,0.5842105263157895
"sex,age",age_group,>50,0.5221238938053098,0.8387096774193549,0.4024390243902439,0.2743362831858407,113,0.5132743362831859
